"","Pattern Type","Pattern #","AutoFocus","Caption","GridSpacing","RasterSpacing","CurvePoints","ImageNo","Pattern Color","Pattern Options","CoaxPercent","PolPercent","RingPercent","TransPercent","ZoomPercent","","Pre-Ablation Pass","DepthPerPass","Dwell Time","Interstitial Pause","Energy","PassEnabled","Pass Count","Scan Speed","Rate","Spot Size","Fire Mode","Move Z","Same Direction","Burst Count","Beam Mode","XYRShutter Enabled","XYRShutter AutoRotate","XYRShutter Swap","XYRShutter Angle","XYRShutter Height","XYRShutter Width","","Ablation Pass","DepthPerPass","Dwell Time","Interstitial Pause","Energy","PassEnabled","Pass Count","Scan Speed","Rate","Spot Size","Fire Mode","Move Z","Same Direction","Burst Count","Beam Mode","XYRShutter Enabled","XYRShutter AutoRotate","XYRShutter Swap","XYRShutter Angle","XYRShutter Height","XYRShutter Width","X","Y","Z"
"1","6","81","0","4772","150","55","25","0","65280","0","0","0","0","0","0","","","5","1","5","10","0","1","70","3","150","0","0","0","3","1","0","0","0","0","0","0","","","20","25","5","25","1","1","10","10","25","0","1","0","0","1","0","0","0","0","0","0","37.5169843441513","6.62422615579751","2.5"
"2","6","68","0","4759","150","55","25","0","65280","0","0","0","0","0","0","","","5","1","5","10","0","1","70","3","150","0","0","0","3","1","0","0","0","0","0","0","","","20","25","5","25","1","1","10","10","25","0","1","0","0","1","0","0","0","0","0","0","38.5097628444669","4.97553080616707","2.5"
"3","6","2","0","4699","150","55","25","0","65280","0","0","0","0","0","0","","","5","1","5","10","0","1","70","3","150","0","0","0","3","1","0","0","0","0","0","0","","","20","25","5","25","1","1","10","10","25","0","1","0","0","1","0","0","0","0","0","0","37.0711116157188","3.62908924363552","2.5"
"4","6","69","0","4760","150","55","25","0","65280","0","0","0","0","0","0","","","5","1","5","10","0","1","70","3","150","0","0","0","3","1","0","0","0","0","0","0","","","20","25","5","25","1","1","10","10","25","0","1","0","0","1","0","0","0","0","0","0","35.1834256004272","4.70659164206208","2.5"
"5","6","26","0","4721","150","55","25","0","65280","0","0","0","0","0","0","","","5","1","5","10","0","1","70","3","150","0","0","0","3","1","0","0","0","0","0","0","","","20","25","5","25","1","1","10","10","25","0","1","0","0","1","0","0","0","0","0","0","33.8077131176968","4.94415366105248","2.5"
"6","6","115","0","4806","150","55","25","0","65280","0","0","0","0","0","0","","","5","1","5","10","0","1","70","3","150","0","0","0","3","1","0","0","0","0","0","0","","","20","25","5","25","1","1","10","10","25","0","1","0","0","1","0","0","0","0","0","0","33.4447220827039","4.03939822092453","2.5"
"7","6","41","0","4732","150","55","25","0","65280","0","0","0","0","0","0","","","5","1","5","10","0","1","70","3","150","0","0","0","3","1","0","0","0","0","0","0","","","20","25","5","25","1","1","10","10","25","0","1","0","0","1","0","0","0","0","0","0","32.8061078401663","4.05221460590299","2.5"
"8","6","75","0","4766","150","55","25","0","65280","0","0","0","0","0","0","","","5","1","5","10","0","1","70","3","150","0","0","0","3","1","0","0","0","0","0","0","","","20","25","5","25","1","1","10","10","25","0","1","0","0","1","0","0","0","0","0","0","32.464361323165","3.61410446997761","2.5"
"9","6","12","0","4717","150","55","25","0","65280","0","0","0","0","0","0","","","5","1","5","10","0","1","70","3","150","0","0","0","3","1","0","0","0","0","0","0","","","20","25","5","25","1","1","10","10","25","0","1","0","0","1","0","0","0","0","0","0","32.4642418832555","3.60167458481701","2.5"
"10","6","111","0","4802","150","55","25","0","65280","0","0","0","0","0","0","","","5","1","5","10","0","1","70","3","150","0","0","0","3","1","0","0","0","0","0","0","","","20","25","5","25","1","1","10","10","25","0","1","0","0","1","0","0","0","0","0","0","30.5021901443314","4.44898040073078","2.5"
