"grain","x","y"
4693,49374.514,16888.863
4699,37741.731,6029.456
4705,42144.836,11402.271
4694,44910.585,22285.844
4700,37905.343,19429.903
4706,39763.455,22941.098
4695,50042.279,7031.308
4701,50994.875,16010.234
4707,36370.589,20235.59
4711,27282.626,15138.023
4714,47606.577,18913.856
4717,33382.833,6094.696
4696,30902.035,7211.23
4702,35061.895,15937.653
4708,43911.232,12643.911
4712,44610.624,19496.426
4715,44784.351,7179.295
4718,28421.358,12548.396
4697,37636.854,17132.057
4703,46480.99,15013.02
4709,51962.088,18126.686
4713,51473.013,19735.067
4716,23266.252,15205.351
4719,45624.404,18878.07
4720,43218.225,8792.45
4721,34680.401,7338.167
4692,44508.794,18898.214
4698,43207.391,8782.061
4704,45960.357,18765.476
4710,26848.609,10989.51
4722,31533.26,6937.436
4723,38003.63,20582.171
4724,49062.949,21246.222
4725,46652.611,9096.912
4726,41963.048,21074.206
4727,41006.344,6119.392
4728,37787.939,22706.307
4729,29511.536,6984.483
4730,50231.819,11348.704
4731,48212.799,21485.701
4732,33715.174,6514.166
4733,51473.441,19746.893
4734,48576.733,18119.121
4735,29511.964,7006.167
4736,41030.406,6130.704
4737,31472.744,20684.241
4738,40366.493,8166.855
4739,40595.037,7482.286
4740,31350.822,10076.943
4741,42439.338,8902.888
4742,39677.079,6783.288
4743,49277.477,8277.961
4744,30459.392,7527.81
4745,31540.209,17086.156
4746,33068.598,23550.468
4747,30464.526,7509.224
4748,51774.19,17485.928
4749,48526.417,16187.658
4750,43118.192,19514.977
4751,28436.333,12559.298
4752,39166.664,21997.264
4753,25949.648,11104.346
4754,45760.633,19940.541
4755,46483.608,20056.781
4756,44071.422,10334.787
4757,41180.841,8674.584
4758,41797.142,9146.167
4759,39129.423,7274.792
4760,35977.2,7086.193
4761,49275.44,8288.452
4762,44673.193,13985.224
4763,31537.744,6938.805
4764,44614.269,15931.594
4765,49778.12,19031.311
4766,33383.192,6106.453
4767,31383.237,10078.329
4768,45648.997,18901.688
4769,40281.452,7755.72
4770,52595.777,19123.215
4771,44172.225,11105.168
4772,38222.829,8854.198
4773,42126.677,7584.133
4774,42982.202,10602.454
4775,41844.207,20204.956
4776,48848.85,8353.195
4777,44673.844,6464.449
4778,43347.574,18070.911
4779,50249.755,16300.458
4780,40955.223,13820.978
4781,46324.617,23195.553
4782,40088.677,12336.915
4783,45764.844,19931.385
4784,26731.017,7762.977
4785,49814.214,16549.248
4786,30599.952,9286.162
4787,27037.328,10937.636
4788,44766.911,10581.095
4789,41870.032,20195.115
4790,50267.314,19780.403
4791,41936.007,13084.124
4792,41020.463,21628.263
4793,47615.905,18931.347
4794,39458.941,16132.635
4795,50284.274,19804.756
4796,43943.253,11196.216
4797,36887.114,16885.423
4798,44560.479,8986.748
4799,46031.158,8066.292
4800,42966.115,13996.365
4801,47554.944,22489.641
4802,31543.392,6935.126
4803,43195.103,13358.14
4804,49445.898,7743.09
4805,49279.599,8267.829
4806,34319.085,6489.402
4807,46093.181,11617.5
4808,51307.056,21304.444
4809,49563.627,10092.192
4810,39588.239,22519.317
4811,49440.73,20537.109
4812,42416.045,8906.242
4813,48682.619,17397.396
4814,41917.815,16146.241
4815,50259.989,22185.024
4816,28698.951,14873.693
4817,38737.678,18070.192
4818,27279.169,21537.541
