Grain Name,Length Number,Apparent Length,Corr. Z Depth,True Length,Azimuth,Dip,Proj C len,Angle to C
Length01,1,13.89,0,13.89,76.07,0,,76.07
Length01,2,13.94,3.27,14.32,35.29,13.21,,37.38
Length01,3,12.34,1.64,12.45,72.36,7.55,,72.52
Length01,4,11.41,1.64,11.53,35.02,8.16,,35.84
Length01,5,12.57,0.82,12.6,58.71,3.72,,58.79
Length01,6,13.79,0,13.79,69.29,0,,69.29
Length01,7,12.66,0,12.66,85.21,0,,85.21
Length01,8,13.96,2.45,14.17,34,9.97,,35.26
Length02,1,13.19,0.82,13.21,72.61,3.55,,72.64
Length02,2,11.91,3.27,12.35,61.14,15.36,,62.26
Length02,3,12.47,0,12.47,45.59,0,,45.59
Length02,4,12.75,0,12.75,64.79,0,,64.79
Length02,5,12.41,3.27,12.84,83.34,14.77,,83.56
Length02,6,13.61,0,13.61,56.4,0,,56.4
Length03,1,12.22,2.45,12.46,44.38,11.35,,45.51
Length03,2,11.56,0.82,11.59,65.28,4.05,,65.35
Length03,3,11.86,2.45,12.11,75.84,11.69,,76.14
Length03,4,11.93,0,11.93,80.59,0,,80.59
Length03,5,13.15,2.45,13.37,81.88,10.57,,82.01
Length03,6,11.42,3.27,11.88,35.63,15.98,,38.61
Length03,7,12.67,0,12.67,77.12,0,,77.12
Length03,8,12.44,4.91,13.38,78.32,21.53,,79.14
Length03,9,12.71,2.45,12.95,88.96,10.93,,88.98
Length03,10,14.11,2.45,14.32,39.39,9.87,,40.41
Length03,11,14.38,2.45,14.59,34.28,9.69,,35.46
Length03,12,12.52,0,12.52,83.94,0,,83.94
Length03,13,10,3.27,10.52,74.05,18.12,,74.86
Length04,1,14.05,0,14.05,40.73,0,,40.73
Length04,2,13.34,1.64,13.44,58.53,6.99,,58.79
Length05,1,12.09,0.82,12.11,20.41,3.87,,20.76
Length05,2,13.24,2.45,13.46,52.94,10.5,,53.66
Length05,3,12.69,1.64,12.79,61.64,7.35,,61.89
Length06,1,13.89,0,13.89,74.14,0,,74.14
Length06,2,12.31,4.09,12.97,51.71,18.38,,53.98
Length07,1,12.33,2.45,12.57,76.67,11.26,,76.93
Length07,2,12.76,0,12.76,79.91,0,,79.91
Length07,3,12.6,0,12.6,59.24,0,,59.24
Length07,4,12.88,0,12.88,73.76,0,,73.76
Length07,5,11.6,0.82,11.63,87.66,4.03,,87.66
Length07,6,13.08,4.91,13.97,30.48,20.57,,36.21
Length07,7,11.6,2.45,11.86,31.43,11.94,,33.41
Length08,1,13.51,1.64,13.61,78.64,6.9,,78.72
Length08,2,12.9,2.45,13.13,49.84,10.77,,50.69
Length08,3,12.69,4.09,13.34,89.25,17.86,,89.29
Length08,4,12.84,0.82,12.87,64,3.65,,64.06
Length08,5,13.58,3.27,13.97,36.3,13.55,,38.42
Length08,6,10.16,0,10.16,70.87,0,,70.87
Length09,1,14.16,0.82,14.19,62.6,3.31,,62.65
Length09,2,14.69,3.27,15.05,5.99,12.56,,13.89
Length09,3,12.23,0,12.23,61.87,0,,61.87
Length09,4,13.37,0.82,13.39,35.53,3.5,,35.68
Length09,5,13.59,2.45,13.81,39.07,10.23,,40.18
Length09,6,12.51,0,12.51,54.46,0,,54.46
Length10,1,13.7,0,13.7,36.44,0,,36.44
Length10,2,14.1,0.82,14.12,27.12,3.32,,27.31
Length10,3,13.86,0.82,13.89,56.2,3.38,,56.27
Length10,4,12.69,2.45,12.93,73.24,10.94,,73.55
Length10,5,13.7,0,13.7,58.47,0,,58.47
Length11,1,14.32,0.82,14.34,62.79,3.27,,62.84
Length12,1,14.51,0.82,14.53,45.72,3.23,,45.81
Length12,2,11.55,2.45,11.81,57.53,11.99,,58.33
Length12,3,12.96,1.64,13.06,35.04,7.19,,35.68
Length12,4,11.89,0.82,11.92,84.64,3.94,,84.66
Length12,5,10.23,1.64,10.36,87.78,9.09,,87.81
Length12,6,12.03,2.45,12.28,33.75,11.53,,35.45
Length12,7,9.7,0,9.7,71.74,0,,71.74
Length13,1,14.15,2.45,14.36,14.31,9.84,,17.31
