Grain Name,Length Number,Apparent Length,Corr. Z Depth,True Length,Azimuth,Dip,Proj C len,Angle to C
Grain01,1,8.010842363,4.09,8.994536973,73.98008574,27.04694965,,75.77149797
Grain01,2,5.674603175,3.272,6.550351532,41.25986622,29.9679295,,49.36602604
Grain01,3,0.703847899,2.454,2.552942981,55.86515012,73.99623061,,81.10017689
Grain01,4,2.626312675,2.454,3.594389276,19.8121299,43.05740191,,46.57369571
Grain01,5,6.488569712,4.09,7.670048038,70.58402506,32.22483935,,73.66707688
Grain01,6,0.314770349,3.272,3.287105775,60.69990105,84.50498673,,87.31396549
Grain01,7,3.709033391,4.09,5.521324904,67.8249174,47.79655712,,75.3123324
Grain01,8,3.545132469,4.09,5.412583877,42.38870102,49.08189061,,61.06871543
Grain01,9,4.988428283,4.908,6.998062641,81.59585573,44.53436739,,84.01988169
Grain01,10,1.524656676,5.726,5.925508753,61.98065369,75.08985331,,83.05747791
Grain01,11,4.256344101,3.272,5.36865431,21.12390185,37.55073615,,42.30780048
Grain01,12,5.463851984,3.272,6.368646835,17.3159677,30.91506904,,35.0105296
Grain01,13,6.953504294,2.454,7.373827905,43.27446501,19.43873069,,46.64029571
Grain01,14,4.801587302,4.09,6.307403635,32.47992907,40.42441197,,50.04504329
Grain01,15,0.195212284,1.636,1.647605485,30.95501976,83.19547323,,84.16827629
Grain01,16,6.649263945,2.454,7.087653138,8.154003444,20.25725828,,21.77261818
Grain01,17,6.482106114,3.272,7.261107606,29.91966657,26.78346673,,39.30909064
Grain01,18,1.288992489,4.908,5.074442397,32.69072434,75.28467944,,77.65604331
Grain01,19,0.91145533,3.272,3.396576927,12.30927566,74.43417592,,74.800765
Grain01,20,9.223031547,3.272,9.786229862,36.38780122,19.5328554,,40.65105192
Grain01,21,7.74823105,5.726,9.634425795,52.09901262,36.4646749,,60.39396209
Grain01,22,9.533477236,1.636,9.672832274,16.53453317,9.737442883,,19.1195377
Grain01,23,8.450685425,8.18,11.761228,74.45743202,44.06752111,,78.8994927
Grain01,24,3.369886504,1.636,3.746015356,69.05296005,25.89547379,,71.23976494
Grain01,25,9.685362586,3.272,10.22312244,29.58657546,18.66647912,,34.5261989
Grain01,26,8.152304307,5.726,9.962285958,14.25577552,35.0833644,,37.52219452
Grain01,27,3.803384603,4.908,6.209202722,53.74405373,52.22661607,,68.76143422
Grain01,28,2.70775693,3.272,4.247108616,16.3822861,50.39040447,,52.28970882
Grain01,29,5.674603175,2.454,6.182494415,63.87973117,23.38622092,,66.16589958
Grain01,30,3.476752147,1.636,3.842434319,24.10567004,25.19952271,,34.31774474
Grain01,31,4.23120092,5.726,7.119700641,63.80862193,53.53762519,,74.79316016
Grain01,32,5.497227822,5.726,7.937669036,52.92947668,46.16774474,,65.32522252
Grain01,33,6.559248931,5.726,8.706941055,75.64622723,41.1198474,,79.23634441
Grain01,34,0.635565149,2.454,2.53496727,69.66463552,75.47992092,,85.00156246
Grain01,35,4.194112179,2.454,4.859289348,2.004024548,30.33215671,,30.39199612
Grain01,36,1.366485986,2.454,2.808807567,59.04498024,60.88917906,,75.50835807
Grain01,37,3.761067484,2.454,4.490851214,63.80862193,33.12341667,,68.30620931
Grain01,38,3.989214484,4.908,6.324736848,71.19137807,50.8958446,,78.26688829
Grain01,39,2.015513654,2.454,3.17559621,9.359709307,50.60313239,,51.22685097
Grain01,40,1.922618024,1.636,2.524471443,46.13757157,40.39522627,,58.14782366
Grain01,41,1.767722413,5.726,5.992655382,61.48472566,72.84357257,,81.90457925
Grain01,42,6.794957967,6.544,9.433736787,15.90760119,43.92216947,,46.15582063
Grain01,43,5.577744803,3.272,6.466623623,35.53042356,30.39661121,,45.41681454
Grain01,44,3.003986601,4.908,5.754337451,39.92764637,58.53089974,,66.40129991
Grain01,45,6.43963872,7.362,9.781001525,69.87802664,48.8233824,,76.90910222
Grain01,46,3.874853194,5.726,6.913867462,26.91053418,55.91331444,,60.01599446
Grain01,47,6.368230428,3.272,7.159632866,65.71682209,27.19412165,,68.54386028
Grain01,48,1.856057205,3.272,3.761772501,36.79595659,60.43572382,,66.72769995
Grain01,49,3.49424535,5.726,6.707967395,17.38458537,58.60670715,,60.19069095
Grain01,50,7.653217853,2.454,8.037030516,59.92188799,17.77841891,,61.49430749
