UM10-10 Brogo Granodiorite Apatite 3D Semi-Track Lengths ,,,,,,,,,
,,,,,,,,,
Grain Name,Length Number,Apparent Length,Corr.  Z Depth,True Length,Azimuth,Dip,Proj C len,Angle to C,Dper
Grain01,1,1.39,0,1.39,8.33,0,1.38,8.33,0.663
Grain01,2,1.87,5.39,5.71,41.24,70.84,1.41,75.74,0.663
Grain01,3,4.84,2.45,5.43,28.9,26.84,4.24,38.71,0.663
Grain01,4,2.31,2.94,3.74,44.8,51.81,1.64,64.01,0.663
Grain01,5,3.72,3.43,5.06,5.59,42.7,3.70,42.97,0.663
Grain01,6,0.74,0.98,1.23,76.9,52.85,0.17,82.16,0.663
Grain01,7,0.79,0.49,0.93,39.85,31.94,0.61,49.30,0.663
Grain01,8,2.56,1.96,3.22,52.01,37.49,1.58,60.70,0.663
Grain01,9,0.14,0.98,0.99,55.1,81.99,0.08,85.36,0.663
Grain01,10,5.26,4.9,7.19,35.95,43,4.26,53.68,0.663
Grain01,11,4.61,2.45,5.22,86.65,27.98,0.27,87.04,0.663
Grain01,12,0.99,1.47,1.78,68.59,55.92,0.36,78.29,0.663
Grain01,13,2.83,1.96,3.44,37.69,34.7,2.24,49.38,0.663
Grain01,14,0.83,0.49,0.96,83.26,30.55,0.10,84.18,0.663
Grain01,15,4.45,4.9,6.62,42.57,47.76,3.28,60.33,0.663
Grain01,16,0.5,1.47,1.55,68.59,71.31,0.18,83.24,0.663
Grain01,17,6.79,6.86,9.65,81.67,45.32,0.98,84.15,0.663
Grain01,18,1.86,1.96,2.7,49.97,46.55,1.20,63.70,0.663
Grain01,19,4.52,4.9,6.67,67.44,47.33,1.73,74.93,0.663
Grain01,20,0.34,1.47,1.51,18.23,76.8,0.32,77.65,0.663
Grain01,21,2,0.49,2.06,11.5,13.77,1.96,17.94,0.663
Grain01,22,2.02,7.84,8.1,42.75,75.56,1.48,79.45,0.663
Grain01,23,4.38,0.98,4.49,26.92,12.61,3.91,29.57,0.663
Grain01,24,3.6,5.39,6.48,87.57,56.29,0.15,88.65,0.663
Grain01,25,3.14,1.47,3.47,46.26,25.09,2.17,51.27,0.663
Grain01,26,3.28,2.45,4.09,77.35,36.78,0.72,79.89,0.663
Grain01,27,2.95,3.43,4.52,38.79,49.35,2.30,59.42,0.663
Grain01,28,6.45,4.9,8.1,22.77,37.24,5.95,42.76,0.663
Grain01,29,0.96,0.98,1.37,76.14,45.58,0.23,80.34,0.663
Grain01,30,5.42,8.82,10.36,7.52,58.44,5.37,58.76,0.663
Grain01,31,2.14,1.47,2.6,56.95,34.5,1.17,63.33,0.663
Grain01,32,1.15,0.98,1.51,22.37,40.5,1.06,45.23,0.663
Grain01,33,3.21,1.47,3.53,36.28,24.64,2.59,42.86,0.663
Grain01,34,0.48,0.49,0.69,34.9,45.43,0.39,55.21,0.663
Grain01,35,3.55,4.9,6.05,18.01,54.12,3.38,56.08,0.663
Grain01,36,2.95,1.96,3.54,17.7,33.59,2.81,37.45,0.663
Grain01,37,1.1,3.43,3.6,34.9,72.17,0.90,75.49,0.663
