Length.Name,Length.Number,Apparent.Length,Corrected.Z.Depth,True.Length,Azimuth,Dip,Angle.to.CAxis
Length01,1,1.72,1.96,2.61,54.92,48.66,67.69
Length01,2,4.29,3.43,5.49,42.35,38.68,54.76
Length01,3,1.86,0.49,1.93,53.46,14.73,54.84
Length01,4,1.72,0.49,1.79,22.4,15.86,27.21
Length01,5,5.02,9.31,10.58,72.26,61.66,81.69
Length01,6,2.07,0.98,2.29,75.53,25.34,76.95
Length01,7,2.69,2.45,3.64,54.28,42.29,64.41
Length01,8,4.07,3.92,5.65,39.63,43.93,56.31
Length01b,1,1.85,0.49,1.92,83.66,14.81,83.87
Length01b,2,2.72,1.47,3.09,78.56,28.44,79.95
Length01b,3,6.09,1.96,6.4,33.52,17.85,37.48
Length01b,4,4.32,2.94,5.23,63.18,34.23,68.1
Length01b,5,4.5,6.86,8.2,69.22,56.78,78.79
Length01b,6,11.07,8.33,13.86,59.47,36.97,66.05
Length01b,7,5.93,7.84,9.84,37.99,52.89,61.61
Length01b,8,1.47,2.45,2.86,79.85,59.1,84.81
Length01b,9,1.94,0.98,2.17,47.25,26.85,52.73
Length01b,10,6.82,1.47,6.98,77.5,12.17,77.79
Length02,1,3.17,2.78,4.21,85.36,41.27,86.51
Length02,2,2.36,1.96,3.07,89.49,39.72,89.6
Length02,3,1.88,3.27,3.77,12.67,60.05,60.85
Length03,1,2.88,3.92,4.87,62.82,53.69,74.31
Length03,2,8.65,7.52,11.46,39.76,41,54.54
Length03,3,3.37,1.14,3.56,8.88,18.75,20.68
Length03,4,11.37,5.07,12.44,75.18,24.02,76.49
Length03,5,11.89,2.45,12.14,53.12,11.65,54
Length03,6,1.45,0.49,1.53,43.4,18.67,46.5
Length03,7,3.86,3.59,5.28,42.85,42.93,57.54
Length04,1,2.13,0.49,2.18,18.42,12.99,22.41
Length04,2,3.51,0.82,3.6,15.49,13.12,20.2
Length04,3,8.55,3.27,9.15,37.42,20.93,42.11
Length04,4,8.01,6.37,10.24,25.25,38.5,44.94
Length05,1,8.26,6.37,10.44,46.03,37.64,56.65
Length05,2,3.5,1.47,3.79,38.82,22.8,44.09
Length05,3,2.5,7.84,8.23,38.06,72.32,76.16
Length05,4,4.63,6.37,7.88,57.42,53.99,71.54
Length06,1,7.62,8.66,11.54,50.41,48.64,65.09
Length06,2,2.75,2.29,3.57,79.14,39.79,81.68
Length06,3,2.56,1.31,2.88,9.79,27.04,28.63
Length06,4,5.37,4.74,7.16,9.84,41.41,42.35
Length06,5,12.43,5.23,13.49,28.23,22.81,35.69
Length07,1,4.35,0.49,4.38,52.17,6.43,52.45
Length07,2,8.02,2.45,8.39,37.07,16.99,40.26
Length08,1,1.63,0.49,1.7,71.01,16.75,71.85
Length08,2,5.68,10.29,11.76,59.02,61.1,75.6
Length08,3,3.02,2.45,3.89,45.17,39.08,56.82
Length08,4,7.47,7.35,10.48,70.23,44.56,76.05
Length08,5,3.32,2.45,4.13,13.93,36.44,38.67
Length08,6,7.43,10.29,12.7,49.7,54.17,67.75
Length08,7,1.31,1.47,1.97,36.94,48.32,57.89
Length08,8,5.97,2.45,6.45,44.71,22.33,48.9
Length08,9,2.23,1.47,2.68,46.49,33.35,54.89
Length08,10,6.21,0.98,6.29,6.32,8.97,10.96
Length08b,1,4.77,4.58,6.61,52.88,43.83,64.19
Length08b,2,3.4,2.94,4.49,79.33,40.88,81.96
Length08b,3,6.61,0.65,6.64,74.97,5.65,75.05
Length08b,4,7.47,7.35,10.48,2.85,44.56,44.63
Length08b,5,8.72,2.12,8.97,5.23,13.69,14.64
Length08b,6,2.91,1.14,3.13,77.68,21.47,78.54
Length09,1,4.76,0.16,4.77,31.54,1.96,31.59
Length09,2,5.45,4.74,7.22,37.78,41.03,53.4
Length09,3,1.45,0.49,1.53,57.4,18.67,59.31
Length09,4,3.6,0.16,3.61,46.58,2.6,46.63
Length09,5,7.13,6.37,9.56,31.82,41.78,50.69
Length10,1,6.02,1.96,6.33,61.34,18.03,62.87
Length10,2,5.5,7.84,9.58,38.57,54.96,63.33
Length10,3,5.56,2.45,6.08,11.64,23.78,26.33
Length10,4,4.14,2.94,5.08,42.34,35.39,52.95
Length10,5,7.57,5.39,9.29,66.35,35.46,70.93
Length10,6,2.16,1.96,2.91,63.88,42.28,70.99
Length11,1,3.67,2.45,4.41,39.79,33.76,50.29
Length11,2,7.06,0.98,7.13,42.87,7.9,43.46
Length11,3,2.83,1.96,3.44,56,34.7,62.63
Length11,4,3.96,3.43,5.24,50.5,40.91,61.27
Length11,5,4.98,1.96,5.35,7.9,21.5,22.84
Length12,1,5.6,6.37,8.48,39.37,48.71,59.33
Length12,2,3.15,2.94,4.31,10.54,43.06,44.08
Length12,3,5.8,1.47,5.99,56.18,14.22,57.35
Length13,1,1.62,1.96,2.54,72.76,50.49,79.13
Length13,2,7.41,5.39,9.16,42.07,36.05,53.12
Length13,3,3.8,0.33,3.81,8.25,4.92,9.6
