UM10-10 Brogo Granodiorite Apatite Confined Lengths,,,,,,,,
,,,,,,,,
Length Name,Length Number,Apparent Length,Corrected Z Depth,True Length,Azimuth,Dip,Proj C len,Angle to C
Length01,1,11.9,0.49,11.91,84.87,2.36,1.06,84.87
Length01,2,8.21,1.96,8.44,64.58,13.43,3.52,65.32
Length02,1,13.68,0,13.68,77.65,0,2.93,77.65
Length02,2,14.72,0.98,14.75,78.78,3.81,2.86,78.80
Length02,3,8.16,0.49,8.17,44.49,3.44,5.82,44.56
Length02,4,13.76,0.49,13.76,81.5,2.04,2.03,81.50
Length02b,1,4.78,1.96,5.17,85.46,22.3,0.38,85.80
Length02b,2,13.82,0.98,13.86,67.05,4.06,5.39,67.12
Length03,1,13.58,0.98,13.61,80.7,4.13,2.19,80.72
Length03,2,6.22,1.96,6.52,50.05,17.5,3.99,52.22
Length04,1,10.65,4.9,11.73,78.05,24.71,2.21,79.16
Length04,2,13.76,0.98,13.8,79.51,4.08,2.51,79.54
Length04b,1,14.34,0,14.34,80.64,0,2.33,80.64
Length05,1,10.74,0.49,10.75,29.33,2.61,9.36,29.42
Length06,1,6.16,0.49,6.18,75.88,4.55,1.50,75.93
Length07,1,12.43,1.96,12.59,38.92,8.96,9.67,39.81
Length08,1,13.4,1.96,13.54,60.36,8.33,6.63,60.70
Length08,2,9.55,1.47,9.67,44.37,8.75,6.83,45.09
Length09,1,12.71,4.9,13.62,78.04,21.09,2.63,78.85
Length09,2,13.22,2.94,13.54,65.82,12.54,5.41,66.43
Length09,3,3.16,0.49,3.2,88.65,8.82,0.07,88.67
Length10,1,9.17,0.49,9.19,54.08,3.06,5.38,54.17
Length10,2,8.88,0.98,8.93,79.38,6.3,1.64,79.44
Length11,1,10.54,0,10.54,43.7,0,7.62,43.70
Length11,2,12.92,0.49,12.93,78.13,2.17,2.66,78.14
Length11,3,3.12,0,3.12,86.88,0,0.17,86.88
Length12,1,7.75,1.96,7.99,60.26,14.2,3.84,61.24
Length13,1,8.84,2.45,9.17,31.87,15.5,7.51,35.05
Length13b,1,13.33,0.49,13.34,81.92,2.11,1.87,81.93
Length13b,2,9.17,0.49,9.18,50.88,3.06,5.79,50.93
Length14,1,15.84,1.47,15.91,41.39,5.3,11.88,41.68
Length15,1,13.22,1.47,13.3,75.6,6.35,3.29,75.69
Length16,1,12.34,0.49,12.35,85.74,2.27,0.92,85.74
Length16,2,13.42,2.94,13.74,62.62,12.36,6.17,63.31
Length16,3,9.61,2.94,10.05,82.98,17.02,1.17,83.29
Length17,1,3.39,0,3.39,66.32,0,1.36,66.32
Length18,1,13.94,0,13.94,52.81,0,8.43,52.81
Length18,2,13.24,0.49,13.25,89.38,2.12,0.14,89.38
Length19,1,13.12,0,13.12,72.82,0,3.88,72.82
Length20,1,12.07,0,12.07,9.5,0,11.90,9.50
Length20b,1,8.14,2.45,8.5,57.8,16.75,4.34,59.32
Length21,1,6.19,3.92,7.33,51.72,32.34,3.83,58.46
Length22,1,10.69,4.9,11.76,34.36,24.63,8.82,41.38
Length23,1,10.47,0,10.47,43.52,0,7.59,43.52
Length24,1,8.2,1.96,8.43,68.59,13.45,2.99,69.20
Length25,1,8.49,3.92,9.35,28.11,24.8,7.49,36.78
Length26,1,5.37,0.98,5.45,41.82,10.35,4.00,42.75
Length27,1,14.14,0.49,14.15,43.81,1.99,10.20,43.85
Length27,2,6.29,2.94,6.95,19.54,25.05,5.93,31.47
Length28,1,14.57,0.49,14.58,50.02,1.93,9.36,50.05
Length28,2,8.74,2.45,9.08,11.04,15.67,8.58,19.14
Length29,1,9.44,0,9.44,17.94,0,8.98,17.94
Length29b,1,4.3,0,4.3,76.87,0,0.98,76.87
Length30,1,13.04,0.49,13.05,64.74,2.15,5.56,64.76
Length31,1,13.22,2.94,13.54,52.16,12.54,8.11,53.20
Length31,2,14.27,1.96,14.41,20.02,7.82,13.41,21.50
Length32,1,7.27,1.47,7.42,75.02,11.43,1.88,75.33
Length33,1,13.56,2.45,13.78,28.13,10.24,11.96,29.80
Length34,1,13.86,1.47,13.93,28.99,6.06,12.12,29.51
Length34b,1,8.69,0.49,8.7,51.72,3.23,5.38,51.77
Length35,1,14.28,1.96,14.42,60.64,7.82,7.00,60.95
Length35,2,9.11,0.98,9.16,67.16,6.14,3.54,67.29
Length35,3,12.43,1.47,12.52,87.69,6.75,0.50,87.71
Length35,4,10.54,2.94,10.95,39.07,15.59,8.18,41.64
Length36,1,10.95,3.43,11.47,68.08,17.41,4.09,69.12
Length36,2,2.76,0.49,2.8,79.02,10.07,0.53,79.18
Length37,1,4.82,2.94,5.65,67.8,31.38,1.82,71.20
Length37,2,13.6,0.98,13.64,36.04,4.12,11.00,36.27
Length38,1,7.41,2.45,7.81,44.82,18.3,5.26,47.70
Length39,1,13.67,7.35,15.52,57.81,28.27,7.28,62.02
Length40,1,13.15,0.49,13.16,70.86,2.13,4.31,70.88
Length41,1,8.75,0.98,8.8,23.27,6.39,8.04,24.02
Length42,1,15.78,0,15.78,40.64,0,11.97,40.64
Length42,2,12.88,0.49,12.88,44.5,2.18,9.19,44.50
Length42b,1,15.37,0,15.37,67.75,0,5.82,67.75
Length43,1,6.68,5.39,8.58,36.35,38.92,5.38,51.17
Length44,1,8.33,2.94,8.83,48.5,19.45,5.52,51.31
Length45,1,8.06,2.45,8.42,20.95,16.92,7.53,26.62
Length46,1,8.75,0.49,8.77,48.5,3.2,5.80,48.62
Length47,1,9.23,0.98,9.28,38.61,6.06,7.21,38.99
Length47b,1,12.09,2.45,12.33,4.24,11.46,12.06,12.08
Length47b,2,12.13,7.35,14.19,78.12,31.21,2.50,79.86
Length47c,1,13.2,0.49,13.21,88.9,2.13,0.25,88.90
Length48,1,11.15,0,11.15,89.68,0,0.06,89.68
Length49,1,14.19,0,14.19,35.62,0,11.54,35.62
Length49,2,12.57,1.47,12.65,80.51,6.67,2.07,80.57
Length49,3,13.33,1.47,13.41,27.79,6.3,11.79,28.43
Length50,1,7.63,1.47,7.77,78.57,10.91,1.51,78.78
Length50,2,7.16,0.98,7.22,76.32,7.8,1.69,76.44
Length51,1,8.18,0.98,8.24,60.8,6.83,3.99,61.03
Length51,2,7.87,0.49,7.89,49.38,3.56,5.12,49.50
Length52,1,12.94,0.98,12.97,56.57,4.33,7.13,56.66
Length52,2,8.98,0.49,8.99,85.44,3.13,0.71,85.45
Length53,1,14.68,0,14.68,71.9,0,4.56,71.90
Length53,2,12.34,2.94,12.68,26.86,13.41,11.01,29.75
Length54,1,12.61,3.43,13.07,57.5,15.22,6.78,58.78
Length54,2,9.83,0.49,9.84,9.32,2.85,9.70,9.67
Length55,1,10.6,0.49,10.61,80.21,2.65,1.80,80.22
Length55,2,10.01,6.86,12.14,59.81,34.43,5.03,65.50
Length56,1,13.43,0.49,13.44,64.71,2.09,5.74,64.73
Length56,2,8.3,0,8.3,31.97,0,7.04,31.97
Length57,1,12.61,3.43,13.07,62.83,15.22,5.76,63.86
Length58,1,10.68,0.49,10.69,44.94,2.63,7.56,44.99
Length59,1,13.11,0.49,13.12,75.17,2.14,3.36,75.18
Length60,1,13.14,2.94,13.47,78.07,12.61,2.72,78.37
Length60,2,3.33,3.43,4.78,61.49,45.87,1.59,70.58
